country,continent,trust,race,religion,drinkers,immigrants,aids,addicts,homo,,,,
Netherlands,Europe,66.1,8.2,2.7,84.6,19.6,9.7,92.3,6.9,,,,
China,Asia,60.3,10.5,9.2,71.1,12.2,73.2,96.5,52.7,,,,
Sweden,Europe,60.1,2.8,3.7,51.4,3.5,6.4,74.7,4.2,,,,
New Zealand,Oceania,55.3,2.9,1.4,72.9,5.9,16.8,85.4,14.7,,,,
Australia,Oceania,51.4,5,4,37,10.5,15.3,93.8,13.4,,,,
Hong Kong,Asia,48,18.8,17.2,69.3,21.1,44.8,75.9,33.5,,,,
Germany,Europe,44.6,14.8,14.1,70.2,21.4,24,66.3,22.4,,,,
Estonia,Europe,39,25.4,20.7,79,37.5,48.6,86.9,47.3,,,,
Yemen,Asia,38.5,34,53.3,86.3,24.2,81.9,92.5,68.7,,,,
Kazakhstan,Asia,38.3,11.2,12.1,86,27.8,60,93.1,73.6,,,,
Singapore,Asia,37.3,12.6,10.8,61.9,35.8,42.9,79.4,31.6,,,,
Kyrgyzstan,Asia,36.3,28.1,34.1,79.7,30.7,72.9,89.8,77,,,,
United States,Americas,34.8,5.6,3.4,68.9,13.6,13.4,88.3,20.4,,,,
Belarus,Europe,32.6,23.1,3.4,87.7,33.4,60.9,95.3,72.1,,,,
Thailand,Asia,32.1,39.7,32.5,62.8,58.2,45.9,78.8,39.8,,,,
Taiwan,Asia,30.3,8.4,,,20.2,62.7,95.4,40.8,,,,
Iraq,Asia,30,27.7,28.2,86.4,39,80.2,91.9,80.3,,,,
Kuwait,Asia,28.5,28.1,,69.4,37.2,66.4,84.4,,,,,
Russia,Asia,27.8,17.2,14.3,84.3,32.2,54.3,93.2,66.2,,,,
South Korea,Asia,26.5,34.1,31.1,,44.2,88.5,97,79.8,,,,
South Africa,Africa,23.3,19.2,16,60,40.9,17.7,85.7,37.9,,,,
Ukraine,Europe,23.1,16.9,15,83.6,19.3,52.3,91.5,61.7,,,,
Pakistan,Asia,22.2,15.7,23.8,67.2,20.9,30,77.2,59,,,,
Poland,Europe,22.2,5.5,4.6,65.4,7.2,25.6,73.9,39.6,,,,
Qatar,Asia,21.4,8.8,11.6,73.6,46,67.1,94.9,83.4,,,,
Haiti,Africa,21.3,6.3,1.8,30.4,1.5,1.9,63,74,,,,
Slovenia,Europe,19.9,10.9,8.5,62.5,13.6,26.5,71.7,35.5,,,,
Argentina,Americas,19.2,1,3.2,37,2.8,5.7,66,11,,,,
Spain,Europe,19,4.8,3.1,43.1,7.5,12.3,73.2,5.1,,,,
Algeria,Africa,17.2,19.8,42.7,78.8,28,46.2,84.2,58.1,,,,
India,Asia,16.7,25.6,28.4,90,47.1,61.5,93.6,65,,,,
Rwanda,Africa,16.6,3.5,4.8,51.9,5.4,8.7,91.2,88.4,,,,
Palestine,Asia,15.8,44,,,39.9,71.1,85.4,65.3,,,,
Tunisia,Africa,15.5,16.9,29.7,71.9,18.8,35.1,81.4,68.9,,,,
Nigeria,Africa,15,20.9,26.5,63.7,20.1,46.5,76.3,70.5,,,,
Azerbaijan,Asia,14.8,58.1,34.8,85.3,40.6,94.4,95.6,94.4,,,,
Uzbekistan,Asia,13.9,14,15.1,84.1,12.3,84.4,97.9,65,,,,
Uruguay,Americas,13.8,1.6,2.9,51.3,1.7,5.5,60,9.6,,,,
Jordan,Asia,13.2,27.2,28.7,72.3,37.2,68,80.3,62,,,,
Chile,Americas,12.4,5.6,5.8,61.8,7.6,17.9,74.1,25.7,,,,
Mexico,Americas,12.4,10.2,15.6,50.1,11.6,16.2,69.5,23.2,,,,
Morocco,Africa,12.3,13.8,18.9,77.2,10.8,47.1,82.9,85.5,,,,
Turkey,Asia,11.6,35.8,36.8,83.3,30.5,74.9,93.3,85.4,,,,
Armenia,Asia,10.9,31.8,56.6,92.1,18.4,76.9,96.2,92.7,,,,
Libya,Asia,10,55.1,54.1,82.7,59,69.9,85.7,76.5,,,,
Lebanon,Asia,9.8,36.3,33.8,54.6,40.4,54.9,72.8,58.5,,,,
Georgia,Asia,8.8,32.1,36.4,77.9,32.8,68.4,90.2,86.6,,,,
Malaysia,Asia,8.5,31.3,30.3,68.5,59.7,59.5,73.8,58.7,,,,
Peru,Americas,8.4,9.3,12.3,68.3,10.7,31.7,86.8,44.3,,,,
Zimbabwe,Africa,8.3,8.1,7.1,,13.7,4.9,75.6,90.2,,,,
Romania,Europe,7.7,23.5,19.1,76.1,21.3,42.4,81.6,54.2,,,,
Cyprus,Europe,7.5,24.8,20.1,64.1,35.5,31.7,64.6,34.9,,,,
Ecuador,Americas,7.2,34.5,32.1,48.8,34.6,34.6,54.1,38.8,,,,
Brazil,Americas,7.1,1.9,18,38.9,2.6,6.9,80.2,11.1,,,,
Ghana,Africa,5,19.9,22.5,67.2,20.2,40.2,78.4,79.7,,,,
Colombia,Americas,4.1,3.2,6.5,53.4,4.7,23.1,75.9,34.6,,,,
Philippines,Oceania,3.2,21.6,16.3,69.4,14.1,74.8,95.5,27.9,,,,
Trinidad and Tobago,Americas,3.2,1.5,2.9,55.5,6.8,11.9,83.9,47.3,,,,
