country,continent,trust,criminals,race,drinkers,emotional,immigrants,aids,addicts,homo,extremists,,,,
Norway,Europe,64.8,44,8.2,31.8,36.9,9.8,14.1,65.8,14.3,53.7,,,,
Sweden,Europe,56.6,34.9,3,37.2,24.5,4.7,7.9,72,11.2,55.1,,,,
China,Asia,50.4,61.7,22.9,64.7,55.6,20.3,62.3,70.8,60.7,42.1,,,,
New Zealand,Oceania,47.5,57.5,3,65.9,60.2,5.4,16.7,78.8,22.3,47.2,,,,
Australia,Oceania,39.4,45.3,4.8,59.7,39,4.6,15,73.6,24.7,45.2,,,,
United States,Americas,35,60.9,6.6,63,51.4,9.7,18.6,82.8,29.5,33.2,,,,
India,Asia,32.8,67.4,36,57.6,44.8,33.1,60.3,65.9,61.4,55.4,,,,
Ukraine,Europe,28.8,71.9,8.6,77.1,58.9,12.5,59.2,87.7,65.2,47.6,,,,
Spain,Europe,28.7,37,8.3,40.3,24.8,7.3,23.4,53.4,20.3,39.3,,,,
Mexico,Americas,26.4,57.9,26.7,43.3,38.7,27.1,33.1,53.9,39.9,34.2,,,,
Albania,Europe,24.3,93.8,7.8,83,57.7,10.2,63.5,83.1,70,66.7,,,,
Bulgaria,Europe,23.7,69.8,17.3,42.3,41.2,15.6,42.6,66,40.8,39,,,,
Russia,Europe,23.2,64.4,8.3,79.9,55.7,11.9,55.6,87.6,70.9,43.8,,,,
Belarus,Europe,23,66.8,5,74,53.2,6.3,58,82.4,63.4,38.9,,,,
Croatia,Europe,22.8,41.6,8.4,63.6,37.3,6.8,43.4,69.9,45.5,54.6,,,,
Uruguay,Americas,21.6,69.6,6.8,58.7,33,7.1,19.2,44.3,31.9,42.2,,,,
Chile,Americas,21.4,49.6,12,53.7,30.6,11.7,21.3,58.5,41.4,51.3,,,,
Lithuania,Asia,21.3,78.1,14,86.2,57.2,29.3,66.2,89.9,76.5,53.3,,,,
Estonia,Europe,21.1,74.2,7.5,86.5,59.1,19,43.8,86.6,63.9,39.7,,,,
Bangladesh,Asia,20.5,87.1,17.3,89.5,65.6,29.5,82,90.4,83.7,81.6,,,,
South Africa,Africa,17.6,67.9,11.2,60.8,37,21.3,44,74.8,50.5,31.7,,,,
Argentina,Americas,17.1,45.5,4.6,43.6,28.2,5.7,15,39.2,27.3,52.8,,,,
Poland,Europe,16.9,77.8,19.9,79.1,55.4,21,51.2,77.8,66,20.7,,,,
Nigeria,Africa,16.4,93.4,20.4,78.7,60.3,19.7,88.8,90.1,89.5,48.9,,,,
Venezuela,Americas,13.3,67.6,20,54.5,46.4,21.8,57.6,75.1,67.5,39.4,,,,
Turkey,Asia,6.5,74.2,40.7,89,75.8,43.7,81.1,92.3,89.7,72.3,,,,
Puerto Rico,Americas,5.9,62.5,6.6,58.1,42,12.7,16.7,66,32.3,43.5,,,,
Philippines,Oceania,5.5,82.3,24.2,67.9,28.3,19.8,73.5,86,32.5,43.7,,,,
Peru,Americas,4.9,63.8,11.6,52.9,32.1,10.2,39.2,73.3,53.8,36.7,,,,
Brazil,Americas,2.8,44.8,2.8,46.2,17.7,3.6,14.1,56.4,26.1,15.6,,,,
